Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
12167,3120671,97528.0,1970,1,100,70.8,4.8,0.5,45.1,,,,,5.8188952817567055,3.8088822465086327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1851,2715953,121579.0,1923,1,100,112.7,11.6,0.0,7.95,40.746866,-73.990581,5.0,95.0,6.527372951241436,2.0731719286662407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2926,2539077,263438.0,1905,1,100,69.2,,0.0,10.95,40.766993,-73.987531,4.0,139.0,5.3230099791384085,2.3933394562625097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
766,4776067,131817.0,1920,1,95,48.5,,,,40.717744,-74.003297,1.0,33.0,4.633757642840004,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2238,2664638,69289.0,1904,1,100,24.1,,0.0,21689.36,40.744524,-73.98695,5.0,56.0,0.8329091229351039,9.98457709670048,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6552,2815953,58153.0,1929,1,100,118.6,7.3,0.0,,40.832519,-73.91354,4.0,175.0,6.001662372084428,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6972,4401920,276690.0,1981,4,100,78.5,5.0,0.7,,40.82152,-73.89287,2.0,159.0,6.8586700712916455,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6236,2679585,50568.0,1949,1,100,190.9,3.5,0.0,40.4,40.853733,-73.935021,12.0,271.0,6.655955018418123,3.6988297849671046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10439,4039683,65561.0,1937,1,100,71.5,4.0,0.6,61.62,40.640979,-73.945623,17.0,830.0,5.307277107919509,4.120986493168521,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2404,2639568,181226.0,1992,1,100,58.0,6.5,0.4,38.3,40.73848,-73.983419,6.0,68.0,5.8522024797744745,3.6454498961866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2783,2920816,117102.0,1927,1,100,128.3,14.9,,230.49,40.760454,-73.985655,5.0,125.0,6.560606247696809,5.440207477547653,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7854,2977498,81315.0,1973,1,100,87.0,4.0,0.1,110.14,40.86547,-73.891472,7.0,40502.0,6.177113893994611,4.7017522838343355,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12911,3537990,217143.0,1987,2,100,103.5,8.9,0.8,,,,,,6.1870313306519575,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3561,2663944,208241.0,1931,1,100,99.0,8.2,,48.67,40.795594,-73.975784,7.0,183.0,6.878738329911644,3.885062823845363,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2595,2816820,56310.0,1948,1,100,77.0,6.2,0.6,34.3,40.735867,-73.981926,6.0,64.0,5.107156861086878,3.535145354171894,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2330,4046701,71043.0,1980,1,90,153.3,22.4,0.0,79.99,40.749878,-73.981406,6.0,82.0,5.777961872830453,4.3819016268607305,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10742,3520646,99482.0,1964,1,100,137.6,3.6,1.4,53.45,40.633876,-73.957922,14.0,766.0,6.629099017737668,3.9787466374710543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12485,2827287,86988.0,1940,1,100,105.9,3.8,0.4,94.99,,,,,6.486922693742851,4.553771622902091,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2801,4479646,461591.0,1962,1,90,138.6,9.5,,82.51,40.762159,-73.983557,5.0,131.0,,4.412919498116252,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6529,4043936,190926.0,2005,1,100,85.5,6.0,0.7,50.46,40.823071,-73.91731,1.0,69.0,6.5160451361063085,3.921180943212912,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6100,5025451,50094.0,1912,1,95,22.1,4.8,0.0,146.74,40.856688,-73.929353,12.0,279.0,2.5877640352277083,4.9886623132858485,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2466,2800982,176584.0,1987,1,100,88.7,9.4,0.0,53.06,40.746178,-73.979209,6.0,72.0,6.690593799345475,3.971423348709594,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4012,4371555,102986.0,1965,1,100,95.9,20.8,,50.17,40.750965,-73.968289,6.0,90.0,,3.9154172384961616,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7255,2801597,70200.0,1990,1,100,97.9,5.8,0.8,147.78,40.850393,-73.918588,5.0,21501.0,5.563370320939456,4.995724681360501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13395,5050189,514975.0,1989,1,100,79.2,18.6,0.2,24.17,,,,,5.684599655239428,3.1851121947153915,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2213,2715791,67414.0,1913,1,100,84.4,12.9,0.4,28.61,40.739466,-73.988615,5.0,56.0,4.969813299576001,3.3537563070620187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1549,4397631,338962.0,1931,1,100,62.1,12.1,0.2,22.27,40.751269,-73.997834,4.0,103.0,5.994460056087781,3.1032404812692764,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1986,5877321,347000.0,2014,1,100,18.7,5.5,,3.07,40.740531,-73.99113,5.0,58.0,,1.1216775615991057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14971,5866122,155282.0,2005,1,100,5.1,1.5,,7.21,40.527654,-74.229887,3.0,226.0,,1.9754689512968577,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13230,2976559,88986.0,1939,1,100,71.0,3.2,0.7,,,,,,5.79727281774354,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
856,2679444,251500.0,1963,1,100,94.7,5.6,,,40.711383,-73.98265,3.0,202.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
